Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"J6,J3,J2,J5",BNC_TEConnectivity_1478204_Vertical,4,5-1634503-1,
,,,,,
,,,,,
4,"R36,R31,R26,R2",R_0603_1608Metric,4,RNCF0603AKT10R0,
5,"C77,C66,C55,C8",R_0603_1608Metric,4,885012006038,
6,"C86,C87,C78,C80,C75,C76,C69,C67,C56,C58,C64,C65,C41,C40,C27,C26,C21,C20,C5,C4,C16,C15,C11,C10",R_0603_1608Metric,24,0603B104M500CT ,
7,"R34,R33,R29,R28,R23,R24,R5,R4",R_0603_1608Metric,8, CR0603-JW-471ELF ,
8,"C79,C68,C57,C44,C43,C2,C9",R_0603_1608Metric,7,885012006007,
9,"RN4,RN3,RN2,RN1",R_Array_Convex_4x1206,4, ACASA1001S1001P1AT ,
,,,,,
,,,,,
12,"R35,R30,R25,R1",R_0603_1608Metric,4,RNCF0603TKY250R ,
13,"Q4,Q3,Q2,Q1",SOT-363_SC-70-6,4, BC847BDW1T1G ,
14,"R37,R32,R27,R6",R_0603_1608Metric,4,RG1608N-101-W-T1,
15,"U7,U6,U5,U1",SOIC-8-LINEAR,4,LT1818,
16,"C47,C54,C53,C52,C51,C50,C49,C48,C46,C45,C38,C37,C36,C35",C_1210_3225Metric,14, GRM32ER60J107ME20K,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
22,SW1,SW_CuK_JS202011CQN_DPDT_Straight,1,JS202011CQN,
23,"C29,C24",CAP-6054-SMDTD04470YA00MT00,2, SMDTD04470YA00MT00 ,
,,,,,
,,,,,
26,"D4,D3,D2,D1",SOT-23,4,BAS116LT1G,
,,,,,
28,R3,R_2512_6332Metric,1,RHC2512FT4R99,
29,"R9,R10",R_0603_1608Metric,2,RMCF0603FT499R,
30,"U3,U2",SOIC-8-LINEAR,2,LT6231,
31,R8,R_1206_3216Metric,1,CR1206-FX-4990ELF,
32,R7,R_2512_6332Metric,1,CRM2512-JW-470ELF,
,,,,,
,,,,,
,,,,,
36,FB1,R_0603_1608Metric,1,742792651,
,,,,,
,,,,,
39,J7,Wuerth_36503505_50x50mm,1, 36503505S  ,
,,,,36003500S ,
